tahun,bulan,puskesmas,desa,sasaran,sangat pendek,pendek,normal,tinggi,jumlah balita diukur,stunting,stunting (%)
2024,maret,PANAGUAN,SRAMBAH,331,5,6,163,0,174,11,6.32183908
2024,maret,PANAGUAN,BADUNG,292,27,7,106,20,160,34,21.25
2024,maret,PANAGUAN,TATTANGOH,342,26,13,108,13,160,39,24.375
2024,maret,PANAGUAN,PANGBATOK,275,7,0,170,0,177,7,3.95480226
2024,maret,PANAGUAN,PANAGUAN,413,4,3,352,1,360,7,1.944444444
2024,maret,PANAGUAN,CAMPOR,372,4,1,257,10,272,5,1.838235294
2024,maret,PANAGUAN,JAMBRINGIN,386,4,4,289,3,300,8,2.666666667
2024,maret,PALENGAAN,BANYUPELLE,979,3,1,623,131,758,4,0.527704485
2024,maret,PALENGAAN,REK KERREK,1074,5,8,835,0,848,13,1.533018868
2024,maret,PALENGAAN,ROMBUH,234,0,0,202,1,203,0,0
2024,maret,PALENGAAN,PALENGAAN LAOK,1097,3,4,972,36,1015,7,0.689655172
2024,maret,PALENGAAN,PALENGAAN DAJA,1062,2,3,872,117,994,5,0.503018109
2024,maret,PEGANTENAN,BULANGAN BARAT,260,0,0,253,0,253,0,0
2024,maret,PEGANTENAN,PALESANGGAR,645,7,29,629,2,667,36,5.397301349
2024,maret,PEGANTENAN,PEGANTENAN,244,7,0,207,1,215,7,3.255813953
2024,maret,PEGANTENAN,TEBUL TIMUR,201,0,3,215,0,218,3,1.376146789
2024,maret,PEGANTENAN,TEBUL BARAT,92,0,1,98,0,99,1,1.01010101
2024,maret,PEGANTENAN,AMBENDER,309,1,2,429,1,433,3,0.692840647
2024,maret,PEGANTENAN,PASANGGAR,578,2,4,499,3,508,6,1.181102362
2024,maret,PEGANTENAN,TANJUNG,386,3,5,466,8,482,8,1.659751037
2024,maret,BULANGAN HAJI,PLAKPAK,731,0,13,329,5,347,13,3.746397695
2024,maret,BULANGAN HAJI,BULANGAN HAJI,437,0,3,363,0,366,3,0.819672131
2024,maret,BULANGAN HAJI,TALAGAH,136,0,2,129,0,131,2,1.526717557
2024,maret,BULANGAN HAJI,BULANGAN TIMUR,295,0,0,277,0,277,0,0
2024,maret,BULANGAN HAJI,BULANGAN BRANTA,156,0,1,132,0,133,1,0.751879699
